date,dateline,strike_price,callorput,open,high,close
2017/1/3,201701W1,8400,call,735,855,855
2017/1/3,201701W1,8400,put,0,0,0
2017/1/3,201701W1,8500,call,0,0,0
2017/1/3,201701W1,8500,put,0.1,0.1,0.1
2017/1/3,201701W1,8600,call,0,0,0
2017/1/3,201701W1,8600,put,0,0,0
2017/1/3,201701W1,8700,call,0,0,0
2017/1/3,201701W1,8700,put,0,0,0
2017/1/3,201701W1,8800,call,0,0,0
2017/1/3,201701W1,8800,put,0.2,0.2,0.2
2017/1/3,201701W1,8850,call,0,0,0
2017/1/3,201701W1,8850,put,0.1,0.2,0.1
2017/1/3,201701W1,8900,call,0,0,0
2017/1/3,201701W1,8900,put,0.3,0.3,0.1
2017/1/3,201701W1,8950,call,330,330,330
2017/1/3,201701W1,8950,put,0.4,0.4,0.1
2017/1/3,201701W1,9000,call,266,281,281
2017/1/3,201701W1,9000,put,0.5,0.6,0.2
2017/1/3,201701W1,9050,call,207,238,237
2017/1/3,201701W1,9050,put,1,1,0.4
2017/1/3,201701W1,9100,call,178,189,187
2017/1/3,201701W1,9100,put,2,2.8,0.7
2017/1/3,201701W1,9150,call,121,141,140
2017/1/3,201701W1,9150,put,5.4,7.1,1.4
2017/1/3,201701W1,9200,call,79,93,92
2017/1/3,201701W1,9200,put,12,18,3.8
2017/1/3,201701W1,9250,call,41.5,50,49.5
2017/1/3,201701W1,9250,put,28,38.5,10.5
2017/1/3,201701W1,9300,call,19,22.5,17.5
2017/1/3,201701W1,9300,put,53,72,28
2017/1/3,201701W1,9350,call,5.5,7,3.6
2017/1/3,201701W1,9350,put,90,115,64
2017/1/3,201701W1,9400,call,1,1,0.5
2017/1/3,201701W1,9400,put,137,162,112
2017/1/3,201701W1,9450,call,0.6,0.6,0.1
2017/1/3,201701W1,9450,put,185,185,176
2017/1/3,201701W1,9500,call,0.1,0.3,0.1
2017/1/3,201701W1,9500,put,226,226,223
2017/1/3,201701W1,9600,call,0.1,0.3,0.2
2017/1/3,201701W1,9600,put,0,0,0
2017/1/3,201701W1,9700,call,0,0,0
2017/1/3,201701W1,9700,put,0,0,0
2017/1/3,201701W1,9800,call,0,0,0
2017/1/3,201701W1,9800,put,0,0,0
2017/1/3,201701W1,9900,call,0,0,0
2017/1/3,201701W1,9900,put,0,0,0
2017/1/3,201701W1,10000,call,0,0,0
2017/1/3,201701W1,10000,put,0,0,0
2017/1/3,201701,7500,call,0,0,0
2017/1/3,201701,7500,put,0.5,0.5,0.1
2017/1/3,201701,7600,call,0,0,0
2017/1/3,201701,7600,put,0.4,0.4,0.3
2017/1/3,201701,7700,call,0,0,0
2017/1/3,201701,7700,put,0.4,0.4,0.3
2017/1/3,201701,7800,call,0,0,0
2017/1/3,201701,7800,put,0.3,0.3,0.3
2017/1/3,201701,7900,call,0,0,0
2017/1/3,201701,7900,put,0,0,0
2017/1/3,201701,8000,call,0,0,0
2017/1/3,201701,8000,put,0.5,0.5,0.5
2017/1/3,201701,8100,call,1010,1280,1280
2017/1/3,201701,8100,put,0.6,0.7,0.6
2017/1/3,201701,8200,call,0,0,0
2017/1/3,201701,8200,put,0.6,0.7,0.6
2017/1/3,201701,8300,call,0,0,0
2017/1/3,201701,8300,put,1.1,1.1,0.8
2017/1/3,201701,8400,call,875,875,875
2017/1/3,201701,8400,put,1.3,1.7,1.2
2017/1/3,201701,8500,call,795,795,790
2017/1/3,201701,8500,put,1.8,2.6,1.5
2017/1/3,201701,8600,call,665,685,685
2017/1/3,201701,8600,put,3.3,3.9,2.3
2017/1/3,201701,8700,call,570,570,565
2017/1/3,201701,8700,put,4.6,6.3,3.7
2017/1/3,201701,8800,call,449,483,483
2017/1/3,201701,8800,put,8.5,10,5.5
2017/1/3,201701,8900,call,378,386,386
2017/1/3,201701,8900,put,14,17,9.3
2017/1/3,201701,9000,call,289,298,298
2017/1/3,201701,9000,put,23,28.5,17
2017/1/3,201701,9100,call,208,213,210
2017/1/3,201701,9100,put,38,47.5,31
2017/1/3,201701,9200,call,132,138,136
2017/1/3,201701,9200,put,66,79,56
2017/1/3,201701,9300,call,72,79,76
2017/1/3,201701,9300,put,110,128,96
2017/1/3,201701,9400,call,35.5,38,36
2017/1/3,201701,9400,put,171,195,155
2017/1/3,201701,9500,call,15,16,13.5
2017/1/3,201701,9500,put,254,278,235
2017/1/3,201701,9600,call,4.7,5.4,4.3
2017/1/3,201701,9600,put,353,366,328
2017/1/3,201701,9700,call,1.4,1.8,1.5
2017/1/3,201701,9700,put,440,440,426
2017/1/3,201701,9800,call,0.9,1,0.8
2017/1/3,201701,9800,put,0,0,0
2017/1/3,201701,9900,call,0.5,0.5,0.5
2017/1/3,201701,9900,put,0,0,0
2017/1/3,201701,10000,call,0.2,0.2,0.2
2017/1/3,201701,10000,put,0,0,0
2017/1/3,201701,10200,call,0,0,0
2017/1/3,201701,10200,put,0,0,0
2017/1/3,201701,10400,call,0.2,0.2,0.2
2017/1/3,201701,10400,put,0,0,0
2017/1/3,201701,10600,call,0.2,0.2,0.2
2017/1/3,201701,10600,put,0,0,0
2017/1/3,201701,10800,call,0,0,0
2017/1/3,201701,10800,put,0,0,0
2017/1/3,201701,11000,call,0,0,0
2017/1/3,201701,11000,put,0,0,0
2017/1/3,201702,7600,call,1660,1660,1660
2017/1/3,201702,7600,put,1.8,1.8,1.5
2017/1/3,201702,7700,call,0,0,0
2017/1/3,201702,7700,put,1.9,1.9,1.9
2017/1/3,201702,7800,call,0,0,0
2017/1/3,201702,7800,put,2,2,1.4
2017/1/3,201702,7900,call,0,0,0
2017/1/3,201702,7900,put,3.4,3.4,2.1
2017/1/3,201702,8000,call,0,0,0
2017/1/3,201702,8000,put,3.5,3.6,2.4
2017/1/3,201702,8100,call,0,0,0
2017/1/3,201702,8100,put,4,4.5,3.2
2017/1/3,201702,8200,call,0,0,0
2017/1/3,201702,8200,put,5.9,5.9,4.6
2017/1/3,201702,8300,call,0,0,0
2017/1/3,201702,8300,put,8.1,8.1,6.2
2017/1/3,201702,8400,call,0,0,0
2017/1/3,201702,8400,put,10.5,12,8.5
2017/1/3,201702,8500,call,0,0,0
2017/1/3,201702,8500,put,14.5,15.5,11.5
2017/1/3,201702,8600,call,0,0,0
2017/1/3,201702,8600,put,20,21,15
2017/1/3,201702,8700,call,0,0,0
2017/1/3,201702,8700,put,27,29,21.5
2017/1/3,201702,8800,call,485,485,480
2017/1/3,201702,8800,put,35.5,41.5,29.5
2017/1/3,201702,8900,call,385,405,400
2017/1/3,201702,8900,put,50,56,41.5
2017/1/3,201702,9000,call,304,324,324
2017/1/3,201702,9000,put,69,76,59
2017/1/3,201702,9100,call,240,250,250
2017/1/3,201702,9100,put,95,104,83
2017/1/3,201702,9200,call,190,190,182
2017/1/3,201702,9200,put,127,141,116
2017/1/3,201702,9300,call,128,128,125
2017/1/3,201702,9300,put,158,187,158
2017/1/3,201702,9400,call,80,80,79
2017/1/3,201702,9400,put,238,244,215
2017/1/3,201702,9500,call,46,48.5,46.5
2017/1/3,201702,9500,put,305,305,285
2017/1/3,201702,9600,call,24.5,25.5,25.5
2017/1/3,201702,9600,put,382,382,382
2017/1/3,201702,9700,call,12.5,13.5,13
2017/1/3,201702,9700,put,462,462,462
2017/1/3,201702,9800,call,6,6.6,6
2017/1/3,201702,9800,put,0,0,0
2017/1/3,201702,9900,call,3.4,3.7,3.5
2017/1/3,201702,9900,put,0,0,0
2017/1/3,201702,10000,call,2.9,2.9,2.1
2017/1/3,201702,10000,put,0,0,0
2017/1/3,201702,10200,call,1.6,1.6,1.6
2017/1/3,201702,10200,put,0,0,0
2017/1/3,201702,10400,call,0.7,0.7,0.7
2017/1/3,201702,10400,put,0,0,0
2017/1/3,201702,10600,call,0.5,0.5,0.5
2017/1/3,201702,10600,put,0,0,0
2017/1/3,201702,10800,call,0.5,0.5,0.5
2017/1/3,201702,10800,put,0,0,0
2017/1/3,201702,11000,call,0.5,0.5,0.5
2017/1/3,201702,11000,put,0,0,0
2017/1/3,201703,6600,call,0,0,0
2017/1/3,201703,6600,put,2.1,2.1,1.7
2017/1/3,201703,6700,call,0,0,0
2017/1/3,201703,6700,put,0,0,0
2017/1/3,201703,6800,call,0,0,0
2017/1/3,201703,6800,put,2.6,2.6,2.6
2017/1/3,201703,6900,call,0,0,0
2017/1/3,201703,6900,put,0,0,0
2017/1/3,201703,7000,call,0,0,0
2017/1/3,201703,7000,put,2,3.3,2.3
2017/1/3,201703,7100,call,0,0,0
2017/1/3,201703,7100,put,2.3,2.7,2.7
2017/1/3,201703,7200,call,0,0,0
2017/1/3,201703,7200,put,2,3,2.5
2017/1/3,201703,7300,call,0,0,0
2017/1/3,201703,7300,put,2.9,3.5,2.7
2017/1/3,201703,7400,call,0,0,0
2017/1/3,201703,7400,put,3.4,4,3
2017/1/3,201703,7500,call,0,0,0
2017/1/3,201703,7500,put,4.7,4.7,3.5
2017/1/3,201703,7600,call,0,0,0
2017/1/3,201703,7600,put,6,6,4.1
2017/1/3,201703,7700,call,0,0,0
2017/1/3,201703,7700,put,6.7,6.7,4.9
2017/1/3,201703,7800,call,0,0,0
2017/1/3,201703,7800,put,8.6,8.7,5.9
2017/1/3,201703,7900,call,0,0,0
2017/1/3,201703,7900,put,9.9,10.5,7.2
2017/1/3,201703,8000,call,0,0,0
2017/1/3,201703,8000,put,12,12,9.6
2017/1/3,201703,8100,call,0,0,0
2017/1/3,201703,8100,put,14,14,12
2017/1/3,201703,8200,call,1050,1050,1050
2017/1/3,201703,8200,put,18,18,14
2017/1/3,201703,8300,call,0,0,0
2017/1/3,201703,8300,put,22,23,18.5
2017/1/3,201703,8400,call,0,0,0
2017/1/3,201703,8400,put,28.5,29.5,23.5
2017/1/3,201703,8500,call,0,0,0
2017/1/3,201703,8500,put,36.5,37.5,31.5
2017/1/3,201703,8600,call,0,0,0
2017/1/3,201703,8600,put,43,48,38
2017/1/3,201703,8700,call,0,0,0
2017/1/3,201703,8700,put,57,60,51
2017/1/3,201703,8800,call,500,510,510
2017/1/3,201703,8800,put,76,76,63
2017/1/3,201703,8900,call,0,0,0
2017/1/3,201703,8900,put,96,97,79
2017/1/3,201703,9000,call,350,350,345
2017/1/3,201703,9000,put,120,125,103
2017/1/3,201703,9100,call,278,278,278
2017/1/3,201703,9100,put,144,151,135
2017/1/3,201703,9200,call,220,224,224
2017/1/3,201703,9200,put,184,196,180
2017/1/3,201703,9300,call,158,168,168
2017/1/3,201703,9300,put,235,235,220
2017/1/3,201703,9400,call,122,122,122
2017/1/3,201703,9400,put,295,295,282
2017/1/3,201703,9500,call,83,83,82
2017/1/3,201703,9500,put,335,335,335
2017/1/3,201703,9600,call,53,56,56
2017/1/3,201703,9600,put,420,420,410
2017/1/3,201703,9700,call,36,36,36
2017/1/3,201703,9700,put,0,0,0
2017/1/3,201703,9800,call,22,23,22.5
2017/1/3,201703,9800,put,0,0,0
2017/1/3,201703,9900,call,13.5,14,13.5
2017/1/3,201703,9900,put,0,0,0
2017/1/3,201703,10000,call,9.5,9.7,9.7
2017/1/3,201703,10000,put,0,0,0
2017/1/3,201703,10200,call,4.2,4.2,3.8
2017/1/3,201703,10200,put,0,0,0
2017/1/3,201703,10400,call,2.6,2.6,2.6
2017/1/3,201703,10400,put,0,0,0
2017/1/3,201703,10600,call,0,0,0
2017/1/3,201703,10600,put,0,0,0
2017/1/3,201703,10800,call,0,0,0
2017/1/3,201703,10800,put,0,0,0
2017/1/3,201703,11000,call,0,0,0
2017/1/3,201703,11000,put,0,0,0
2017/1/3,201703,11200,call,0.8,0.8,0.8
2017/1/3,201703,11200,put,0,0,0
2017/1/3,201703,11400,call,0,0,0
2017/1/3,201703,11400,put,0,0,0
2017/1/3,201703,11600,call,0,0,0
2017/1/3,201703,11600,put,0,0,0
2017/1/3,201706,7000,call,0,0,0
2017/1/3,201706,7000,put,17,19,17
2017/1/3,201706,7200,call,0,0,0
2017/1/3,201706,7200,put,21,24.5,20
2017/1/3,201706,7400,call,0,0,0
2017/1/3,201706,7400,put,28.5,28.5,25
2017/1/3,201706,7600,call,0,0,0
